Index,TimeStamp,ECG Value
229,20:30:24:330,343
230,20:30:24:340,317
231,20:30:24:350,309
232,20:30:24:360,302
233,20:30:24:370,286
234,20:30:24:380,271
235,20:30:24:390,269
236,20:30:24:400,276
237,20:30:24:410,266
238,20:30:24:420,280
239,20:30:24:430,346
240,20:30:30:0,353
241,20:30:30:10,349
242,20:30:30:20,332
243,20:30:30:30,331
244,20:30:30:40,322
245,20:30:30:50,323
246,20:30:30:60,303
247,20:30:30:70,308
248,20:30:30:80,350
249,20:30:30:90,455
250,20:30:30:100,436
251,20:30:30:110,337
252,20:30:30:120,289
253,20:30:30:130,285
254,20:30:30:140,278
255,20:30:30:150,277
256,20:30:30:160,272
257,20:30:30:170,288
258,20:30:30:180,298
259,20:30:30:190,303
260,20:30:30:200,311
261,20:30:30:210,314
262,20:30:30:220,303
263,20:30:30:230,303
264,20:30:30:240,304
265,20:30:30:250,311
266,20:30:30:260,307
267,20:30:30:270,285
268,20:30:30:280,290
269,20:30:30:290,283
270,20:30:30:300,281
271,20:30:30:310,272
272,20:30:30:320,263
273,20:30:30:330,276
274,20:30:30:340,287
275,20:30:30:350,288
276,20:30:30:360,290
277,20:30:30:370,288
278,20:30:30:380,289
279,20:30:30:390,284
280,20:30:30:400,271
281,20:30:30:410,276
282,20:30:30:420,271
283,20:30:30:430,256
284,20:30:30:440,250
285,20:30:30:450,262
286,20:30:30:460,275
287,20:30:30:470,266
288,20:30:30:480,265
289,20:30:30:490,282
290,20:30:30:500,284
291,20:30:30:510,279
292,20:30:30:520,278
293,20:30:30:530,275
294,20:30:30:540,259
295,20:30:30:550,259
296,20:30:30:560,249
297,20:30:30:570,295
298,20:30:30:580,371
299,20:30:30:590,404
300,20:30:36:0,336
301,20:30:36:10,327
302,20:30:36:20,333
303,20:30:36:30,336
304,20:30:36:40,337
305,20:30:36:50,330
306,20:30:36:60,317
307,20:30:36:70,310
308,20:30:36:80,306
309,20:30:36:90,310
310,20:30:36:100,308
311,20:30:36:110,299
312,20:30:36:120,319
313,20:30:36:130,410
314,20:30:36:140,469
315,20:30:36:150,385
316,20:30:36:160,300
317,20:30:36:170,284
318,20:30:36:180,281
319,20:30:36:190,276
320,20:30:36:200,275
321,20:30:36:210,291
322,20:30:36:220,302
323,20:30:36:230,308
324,20:30:36:240,319
325,20:30:36:250,315
326,20:30:36:260,315
327,20:30:36:270,311
328,20:30:36:280,310
329,20:30:36:290,330
330,20:30:36:300,319
331,20:30:36:310,318
332,20:30:36:320,306
333,20:30:36:330,310
334,20:30:36:340,305
335,20:30:36:350,302
336,20:30:36:360,296
337,20:30:36:370,298
338,20:30:36:380,314
339,20:30:36:390,319
340,20:30:36:400,328
341,20:30:36:410,328
342,20:30:36:420,331
343,20:30:36:430,324
344,20:30:36:440,315
345,20:30:36:450,329
346,20:30:36:460,337
347,20:30:36:470,318
348,20:30:36:480,311
349,20:30:36:490,327
350,20:30:36:500,352
351,20:30:36:510,340
352,20:30:36:520,317
353,20:30:36:530,319
354,20:30:36:540,325
355,20:30:37:0,324
356,20:30:37:10,328
357,20:30:37:20,322
358,20:30:37:30,317
359,20:30:37:40,357
360,20:30:42:0,207
361,20:30:42:10,198
362,20:30:42:20,191
363,20:30:42:30,185
364,20:30:42:40,171
365,20:30:42:50,167
366,20:30:42:60,164
367,20:30:42:70,161
368,20:30:42:80,143
369,20:30:42:90,193
370,20:30:42:100,301
371,20:30:42:110,259
372,20:30:42:120,168
373,20:30:42:130,144
374,20:30:42:140,117
375,20:30:42:150,107
376,20:30:42:160,109
377,20:30:42:170,124
378,20:30:42:180,126
379,20:30:42:190,137
380,20:30:42:200,142
381,20:30:42:210,146
382,20:30:42:220,139
383,20:30:42:230,128
384,20:30:42:240,147
385,20:30:42:250,143
386,20:30:42:260,145
387,20:30:42:270,120
388,20:30:42:280,125
389,20:30:42:290,128
390,20:30:42:300,128
391,20:30:42:310,118
392,20:30:42:320,112
393,20:30:43:0,124
394,20:30:43:10,121
395,20:30:43:20,124
396,20:30:43:30,122
397,20:30:43:40,132
398,20:30:43:50,132
399,20:30:43:60,132
400,20:30:43:70,130
401,20:30:43:80,135
402,20:30:43:90,144
403,20:30:43:100,149
404,20:30:43:110,157
405,20:30:43:120,165
406,20:30:43:130,167
407,20:30:43:140,168
408,20:30:43:150,153
409,20:30:43:160,250
410,20:30:43:170,145
411,20:30:43:180,128
412,20:30:43:190,126
413,20:30:43:200,134
414,20:30:43:210,125
415,20:30:43:220,143
416,20:30:43:230,230
417,20:30:43:240,313
418,20:30:43:250,251
419,20:30:43:260,193
420,20:30:48:0,353
421,20:30:48:10,347
422,20:30:48:20,333
423,20:30:48:30,322
424,20:30:48:40,310
425,20:30:48:50,304
426,20:30:48:60,302
427,20:30:48:70,306
428,20:30:48:80,326
429,20:30:48:90,415
430,20:30:48:100,458
431,20:30:48:110,396
432,20:30:49:0,321
433,20:30:49:10,310
434,20:30:49:20,303
435,20:30:49:30,294
436,20:30:49:40,395
437,20:30:49:50,285
438,20:30:49:60,297
439,20:30:49:70,282
440,20:30:49:80,310
441,20:30:49:90,286
442,20:30:49:100,288
443,20:30:49:110,297
444,20:30:49:120,299
445,20:30:49:130,296
446,20:30:49:140,292
447,20:30:49:150,306
448,20:30:49:160,321
449,20:30:49:170,320
450,20:30:49:180,323
451,20:30:49:190,319
452,20:30:49:200,314
453,20:30:49:210,303
454,20:30:49:220,297
455,20:30:49:230,307
456,20:30:49:240,307
457,20:30:49:250,287
458,20:30:49:260,284
459,20:30:49:270,292
460,20:30:49:280,287
461,20:30:49:290,286
462,20:30:49:300,286
463,20:30:49:310,296
464,20:30:49:320,308
465,20:30:49:330,313
466,20:30:49:340,326
467,20:30:49:350,323
468,20:30:49:360,330
469,20:30:49:370,322
470,20:30:49:380,336
471,20:30:49:390,337
472,20:30:49:400,337
473,20:30:49:410,303
474,20:30:49:420,293
475,20:30:49:430,300
476,20:30:49:440,308
477,20:30:49:450,294
478,20:30:49:460,317
479,20:30:49:470,425
480,20:30:55:0,521
481,20:30:55:10,508
482,20:30:55:20,504
483,20:30:55:30,506
484,20:30:55:40,506
485,20:30:55:50,496
486,20:30:55:60,501
487,20:30:55:70,475
488,20:30:55:80,477
489,20:30:55:90,467
490,20:30:55:100,473
491,20:30:55:110,465
492,20:30:55:120,470
493,20:30:55:130,484
494,20:30:55:140,475
495,20:30:55:150,473
496,20:30:55:160,489
497,20:30:55:170,494
498,20:30:55:180,457
499,20:30:55:190,478
500,20:30:55:200,470
501,20:30:55:210,462
502,20:30:55:220,453
503,20:30:55:230,442
504,20:30:55:240,457
505,20:30:55:250,504
506,20:30:55:260,585
507,20:30:55:270,533
508,20:30:55:280,457
509,20:30:55:290,422
510,20:30:55:300,410
511,20:30:55:310,403
512,20:30:55:320,414
513,20:30:55:330,422
514,20:30:55:340,426
515,20:30:55:350,430
516,20:30:55:360,432
517,20:30:55:370,427
518,20:30:55:380,418
519,20:30:55:390,416
520,20:30:55:400,431
521,20:30:55:410,407
522,20:30:55:420,395
523,20:30:55:430,392
524,20:30:55:440,406
525,20:30:55:450,408
526,20:30:55:460,385
527,20:30:55:470,372
528,20:30:55:480,458
529,20:30:55:490,381
530,20:30:55:500,386
531,20:30:55:510,386
532,20:30:55:520,384
533,20:30:55:530,381
534,20:30:55:540,368
535,20:30:55:550,355
536,20:30:55:560,370
537,20:30:55:570,355
538,20:30:55:580,353
539,20:30:55:590,323
540,20:31:1:0,269
541,20:31:1:10,279
542,20:31:1:20,276
543,20:31:1:30,277
544,20:31:1:40,269
545,20:31:1:50,283
546,20:31:1:60,362
547,20:31:1:70,412
548,20:31:1:80,375
549,20:31:1:90,292
550,20:31:1:100,272
551,20:31:1:110,270
552,20:31:1:120,273
553,20:31:1:130,270
554,20:31:1:140,276
555,20:31:1:150,283
556,20:31:1:160,284
557,20:31:1:170,298
558,20:31:1:180,306
559,20:31:1:190,315
560,20:31:1:200,317
561,20:31:1:210,323
562,20:31:1:220,328
563,20:31:1:230,332
564,20:31:1:240,336
565,20:31:1:250,343
566,20:31:1:260,342
567,20:31:1:270,340
568,20:31:1:280,335
569,20:31:1:290,419
570,20:31:1:300,326
571,20:31:1:310,334
572,20:31:1:320,333
573,20:31:1:330,335
574,20:31:1:340,335
575,20:31:1:350,345
576,20:31:1:360,346
577,20:31:1:370,355
578,20:31:1:380,349
579,20:31:1:390,354
580,20:31:1:400,355
581,20:31:1:410,353
582,20:31:1:420,352
583,20:31:1:430,343
584,20:31:1:440,347
585,20:31:1:450,351
586,20:31:1:460,360
587,20:31:1:470,366
588,20:31:1:480,369
589,20:31:1:490,380
590,20:31:1:500,382
591,20:31:2:0,373
592,20:31:2:10,363
593,20:31:2:20,362
594,20:31:2:30,370
595,20:31:2:40,380
596,20:31:2:50,379
597,20:31:2:60,415
598,20:31:2:70,499
599,20:31:2:80,563
600,20:31:7:0,387
601,20:31:7:10,381
602,20:31:7:20,299
603,20:31:7:30,257
604,20:31:7:40,238
605,20:31:7:50,239
606,20:31:7:60,235
607,20:31:7:70,230
608,20:31:7:80,231
609,20:31:7:90,230
610,20:31:7:100,231
611,20:31:7:110,236
612,20:31:7:120,240
613,20:31:7:130,247
614,20:31:7:140,250
615,20:31:7:150,251
616,20:31:7:160,256
617,20:31:7:170,258
618,20:31:7:180,259
619,20:31:7:190,256
620,20:31:7:200,255
621,20:31:7:210,253
622,20:31:7:220,247
623,20:31:7:230,243
624,20:31:7:240,240
625,20:31:7:250,240
626,20:31:7:260,230
627,20:31:7:270,331
628,20:31:7:280,234
629,20:31:8:0,242
630,20:31:8:10,244
631,20:31:8:20,253
632,20:31:8:30,253
633,20:31:8:40,252
634,20:31:8:50,274
635,20:31:8:60,245
636,20:31:8:70,246
637,20:31:8:80,257
638,20:31:8:90,251
639,20:31:8:100,252
640,20:31:8:110,260
641,20:31:8:120,271
642,20:31:8:130,279
643,20:31:8:140,286
644,20:31:8:150,295
645,20:31:8:160,296
646,20:31:8:170,305
647,20:31:8:180,306
648,20:31:8:190,304
649,20:31:8:200,304
650,20:31:8:210,304
651,20:31:8:220,306
652,20:31:8:230,312
653,20:31:8:240,313
654,20:31:8:250,325
655,20:31:8:260,398
656,20:31:8:270,491
657,20:31:8:280,449
658,20:31:8:290,361
659,20:31:8:300,351
660,20:31:13:0,619
661,20:31:13:10,589
662,20:31:13:20,569
663,20:31:13:30,547
664,20:31:13:40,533
665,20:31:13:50,515
666,20:31:13:60,489
667,20:31:13:70,513
668,20:31:14:0,588
669,20:31:14:10,592
670,20:31:14:20,496
671,20:31:14:30,430
672,20:31:14:40,405
673,20:31:14:50,390
674,20:31:14:60,368
675,20:31:14:70,360
676,20:31:14:80,332
677,20:31:14:90,336
678,20:31:14:100,322
679,20:31:14:110,308
680,20:31:14:120,283
681,20:31:14:130,266
682,20:31:14:140,258
683,20:31:14:150,257
684,20:31:14:160,238
685,20:31:14:170,221
686,20:31:14:180,222
687,20:31:14:190,224
688,20:31:14:200,214
689,20:31:14:210,171
690,20:31:14:220,182
691,20:31:14:230,166
692,20:31:14:240,152
693,20:31:14:250,134
694,20:31:14:260,145
695,20:31:14:270,125
696,20:31:14:280,115
697,20:31:14:290,93
698,20:31:14:300,88
699,20:31:14:310,78
700,20:31:14:320,74
701,20:31:14:330,67
702,20:31:14:340,69
703,20:31:14:350,52
704,20:31:14:360,50
705,20:31:14:370,53
706,20:31:14:380,41
707,20:31:14:390,43
708,20:31:14:400,41
709,20:31:14:410,42
710,20:31:14:420,46
711,20:31:14:430,32
712,20:31:14:440,37
713,20:31:14:450,32
714,20:31:14:460,29
715,20:31:14:470,26
716,20:31:14:480,28
717,20:31:14:490,28
718,20:31:14:500,32
719,20:31:14:510,35
720,20:31:20:0,361
721,20:31:20:10,354
722,20:31:20:20,368
723,20:31:20:30,369
724,20:31:20:40,373
725,20:31:20:50,373
726,20:31:20:60,368
727,20:31:20:70,364
728,20:31:20:80,357
729,20:31:20:90,357
730,20:31:20:100,340
731,20:31:20:110,322
732,20:31:20:120,321
733,20:31:20:130,338
734,20:31:20:140,370
735,20:31:20:150,476
736,20:31:20:160,461
737,20:31:20:170,391
738,20:31:20:180,426
739,20:31:20:190,353
740,20:31:20:200,344
741,20:31:20:210,352
742,20:31:20:220,352
743,20:31:20:230,347
744,20:31:20:240,349
745,20:31:20:250,360
746,20:31:20:260,346
747,20:31:20:270,332
748,20:31:20:280,340
749,20:31:20:290,350
750,20:31:20:300,363
751,20:31:20:310,351
752,20:31:20:320,352
753,20:31:20:330,365
754,20:31:20:340,373
755,20:31:20:350,377
756,20:31:20:360,372
757,20:31:20:370,370
758,20:31:20:380,366
759,20:31:20:390,353
760,20:31:20:400,439
761,20:31:20:410,358
762,20:31:20:420,343
763,20:31:20:430,351
764,20:31:20:440,332
765,20:31:20:450,339
766,20:31:20:460,343
767,20:31:20:470,338
768,20:31:20:480,336
769,20:31:20:490,349
770,20:31:20:500,356
771,20:31:20:510,363
772,20:31:20:520,362
773,20:31:20:530,366
774,20:31:20:540,364
775,20:31:20:550,371
776,20:31:20:560,380
777,20:31:20:570,375
778,20:31:20:580,377
779,20:31:20:590,351
