Index,TimeStamp,ECG Value
120,20:30:17:0,334
121,20:30:17:10,330
122,20:30:17:20,339
123,20:30:17:30,339
124,20:30:17:40,329
125,20:30:17:50,325
126,20:30:17:60,318
127,20:30:17:70,317
128,20:30:17:80,309
129,20:30:17:90,302
130,20:30:17:100,300
131,20:30:17:110,354
132,20:30:17:120,482
133,20:30:17:130,476
134,20:30:17:140,398
135,20:30:17:150,347
136,20:30:17:160,343
137,20:30:17:170,340
138,20:30:17:180,341
139,20:30:17:190,336
140,20:30:17:200,346
141,20:30:17:210,333
142,20:30:17:220,325
143,20:30:17:230,335
144,20:30:17:240,344
145,20:30:17:250,345
146,20:30:17:260,346
147,20:30:17:270,350
148,20:30:17:280,367
149,20:30:17:290,373
150,20:30:17:300,389
151,20:30:17:310,393
152,20:30:17:320,393
153,20:30:17:330,383
154,20:30:17:340,378
155,20:30:17:350,388
156,20:30:17:360,379
157,20:30:17:370,380
158,20:30:18:0,364
159,20:30:18:10,370
160,20:30:18:20,377
161,20:30:18:30,370
162,20:30:18:40,373
163,20:30:18:50,372
164,20:30:18:60,380
165,20:30:18:70,384
166,20:30:18:80,396
167,20:30:18:90,398
168,20:30:18:100,403
169,20:30:18:110,409
170,20:30:18:120,400
171,20:30:18:130,401
172,20:30:18:140,410
173,20:30:18:150,412
174,20:30:18:160,418
175,20:30:18:170,411
176,20:30:18:180,417
177,20:30:18:190,469
178,20:30:18:200,671
179,20:30:18:210,562
180,20:30:23:0,665
181,20:30:23:10,662
182,20:30:23:20,666
183,20:30:23:30,660
184,20:30:23:40,658
185,20:30:23:50,651
186,20:30:23:60,594
187,20:30:23:70,619
188,20:30:23:80,684
189,20:30:23:90,605
190,20:30:23:100,566
191,20:30:23:110,596
192,20:30:23:120,656
193,20:30:23:130,663
194,20:30:23:140,654
195,20:30:23:150,598
196,20:30:24:0,573
197,20:30:24:10,554
198,20:30:24:20,547
199,20:30:24:30,544
200,20:30:24:40,544
201,20:30:24:50,536
202,20:30:24:60,533
203,20:30:24:70,534
204,20:30:24:80,534
205,20:30:24:90,531
206,20:30:24:100,527
207,20:30:24:110,519
208,20:30:24:120,509
209,20:30:24:130,499
210,20:30:24:140,480
211,20:30:24:150,488
212,20:30:24:160,473
213,20:30:24:170,443
214,20:30:24:180,426
215,20:30:24:190,421
216,20:30:24:200,411
217,20:30:24:210,402
218,20:30:24:220,398
219,20:30:24:230,394
220,20:30:24:240,398
221,20:30:24:250,393
222,20:30:24:260,395
223,20:30:24:270,382
224,20:30:24:280,366
225,20:30:24:290,355
226,20:30:24:300,360
227,20:30:24:310,359
228,20:30:24:320,358
