Index,TimeStamp,ECG Value
0,19:4:15:0,475
1,19:4:15:10,437
2,19:4:15:20,441
3,19:4:15:30,433
4,19:4:15:40,425
5,19:4:15:50,411
6,19:4:15:60,405
7,19:4:15:70,413
8,19:4:15:80,503
9,19:4:15:90,521
10,19:4:15:100,438
11,19:4:15:110,409
12,19:4:15:120,390
13,19:4:15:130,375
14,19:4:15:140,382
15,19:4:15:150,366
16,19:4:15:160,374
17,19:4:15:170,380
18,19:4:15:180,392
19,19:4:15:190,389
20,19:4:15:200,391
21,19:4:16:0,387
22,19:4:16:10,398
23,19:4:16:20,388
24,19:4:16:30,402
25,19:4:16:40,392
26,19:4:16:50,390
27,19:4:16:60,381
28,19:4:16:70,368
29,19:4:16:80,346
30,19:4:16:90,338
31,19:4:16:100,334
32,19:4:16:110,314
33,19:4:16:120,305
34,19:4:16:130,310
35,19:4:16:140,314
36,19:4:16:150,316
37,19:4:16:160,324
38,19:4:16:170,364
39,19:4:16:180,305
40,19:4:16:190,316
41,19:4:16:200,302
42,19:4:16:210,336
43,19:4:16:220,312
44,19:4:16:230,296
45,19:4:16:240,322
46,19:4:16:250,335
47,19:4:16:260,354
48,19:4:16:270,345
49,19:4:16:280,328
50,19:4:16:290,323
51,19:4:16:300,310
52,19:4:16:310,336
53,19:4:16:320,329
54,19:4:16:330,323
55,19:4:16:340,355
56,19:4:16:350,430
57,19:4:16:360,481
58,19:4:16:370,417
59,19:4:16:380,386
60,19:4:22:0,584
61,19:4:22:10,597
62,19:4:22:20,682
63,19:4:22:30,663
64,19:4:22:40,607
65,19:4:22:50,610
66,19:4:22:60,655
67,19:4:22:70,667
68,19:4:22:80,662
69,19:4:22:90,649
70,19:4:22:100,602
71,19:4:22:110,615
72,19:4:22:120,593
73,19:4:22:130,587
74,19:4:22:140,613
75,19:4:22:150,612
76,19:4:22:160,592
77,19:4:22:170,604
78,19:4:22:180,596
79,19:4:22:190,628
80,19:4:22:200,640
81,19:4:22:210,635
82,19:4:22:220,634
83,19:4:22:230,615
84,19:4:22:240,639
85,19:4:22:250,616
86,19:4:22:260,615
87,19:4:22:270,589
88,19:4:22:280,597
89,19:4:22:290,598
90,19:4:22:300,590
91,19:4:22:310,581
92,19:4:22:320,589
93,19:4:22:330,600
94,19:4:22:340,592
95,19:4:22:350,584
96,19:4:22:360,600
97,19:4:22:370,591
98,19:4:22:380,589
99,19:4:22:390,585
100,19:4:22:400,606
101,19:4:22:410,607
102,19:4:22:420,603
103,19:4:22:430,606
104,19:4:22:440,614
105,19:4:22:450,602
106,19:4:22:460,595
107,19:4:22:470,592
108,19:4:22:480,579
109,19:4:22:490,585
110,19:4:22:500,591
111,19:4:22:510,583
112,19:4:22:520,617
113,19:4:22:530,664
114,19:4:22:540,664
115,19:4:22:550,626
116,19:4:22:560,591
117,19:4:22:570,575
118,19:4:22:580,573
119,19:4:22:590,557
120,19:4:28:0,326
121,19:4:28:10,324
122,19:4:28:20,327
123,19:4:28:30,337
124,19:4:28:40,328
125,19:4:28:50,328
126,19:4:28:60,315
127,19:4:28:70,291
128,19:4:28:80,294
129,19:4:28:90,281
130,19:4:28:100,264
131,19:4:28:110,264
132,19:4:28:120,306
133,19:4:28:130,306
134,19:4:28:140,261
135,19:4:28:150,254
136,19:4:28:160,253
137,19:4:28:170,249
138,19:4:28:180,251
139,19:4:28:190,254
140,19:4:28:200,242
141,19:4:28:210,249
142,19:4:28:220,250
143,19:4:28:230,254
144,19:4:28:240,256
145,19:4:28:250,252
146,19:4:28:260,232
147,19:4:28:270,227
148,19:4:28:280,222
149,19:4:28:290,212
150,19:4:28:300,217
151,19:4:28:310,207
152,19:4:28:320,229
153,19:4:28:330,296
154,19:4:28:340,326
155,19:4:28:350,275
156,19:4:28:360,231
157,19:4:28:370,209
158,19:4:28:380,207
159,19:4:28:390,204
160,19:4:28:400,202
161,19:4:28:410,203
162,19:4:28:420,204
163,19:4:28:430,211
164,19:4:28:440,209
165,19:4:28:450,215
166,19:4:28:460,223
167,19:4:28:470,227
168,19:4:28:480,233
169,19:4:28:490,239
170,19:4:28:500,244
171,19:4:28:510,237
172,19:4:28:520,240
173,19:4:28:530,232
174,19:4:28:540,230
175,19:4:28:550,220
176,19:4:28:560,223
177,19:4:28:570,223
178,19:4:28:580,219
179,19:4:28:590,218
180,19:4:34:0,196
181,19:4:34:10,197
182,19:4:34:20,186
183,19:4:34:30,190
184,19:4:34:40,195
185,19:4:34:50,206
186,19:4:34:60,208
187,19:4:34:70,221
188,19:4:34:80,217
189,19:4:34:90,215
190,19:4:34:100,232
191,19:4:34:110,234
192,19:4:34:120,245
193,19:4:34:130,246
194,19:4:34:140,248
195,19:4:34:150,241
196,19:4:34:160,234
197,19:4:34:170,243
198,19:4:34:180,236
199,19:4:34:190,237
200,19:4:34:200,243
201,19:4:34:210,281
202,19:4:34:220,369
203,19:4:34:230,363
204,19:4:34:240,306
205,19:4:34:250,274
206,19:4:34:260,269
207,19:4:34:270,268
208,19:4:34:280,281
209,19:4:34:290,281
210,19:4:34:300,286
211,19:4:34:310,302
212,19:4:34:320,304
213,19:4:34:330,312
214,19:4:34:340,320
215,19:4:34:350,330
216,19:4:34:360,337
217,19:4:34:370,344
218,19:4:34:380,356
219,19:4:35:0,362
220,19:4:35:10,354
221,19:4:35:20,354
222,19:4:35:30,345
223,19:4:35:40,333
224,19:4:35:50,316
225,19:4:35:60,320
226,19:4:35:70,318
227,19:4:35:80,329
228,19:4:35:90,325
229,19:4:35:100,326
230,19:4:35:110,333
231,19:4:35:120,331
232,19:4:35:130,339
233,19:4:35:140,341
234,19:4:35:150,331
235,19:4:35:160,330
236,19:4:35:170,333
237,19:4:35:180,342
238,19:4:35:190,341
239,19:4:35:200,345
240,19:4:40:0,528
241,19:4:40:10,527
242,19:4:40:20,535
243,19:4:40:30,544
244,19:4:40:40,547
245,19:4:40:50,563
246,19:4:40:60,541
247,19:4:40:70,531
248,19:4:40:80,517
249,19:4:40:90,516
250,19:4:40:100,506
251,19:4:40:110,506
252,19:4:40:120,508
253,19:4:40:130,501
254,19:4:40:140,501
255,19:4:40:150,512
256,19:4:40:160,504
257,19:4:40:170,494
258,19:4:41:0,499
259,19:4:41:10,497
260,19:4:41:20,500
261,19:4:41:30,504
262,19:4:41:40,503
263,19:4:41:50,506
264,19:4:41:60,504
265,19:4:41:70,510
266,19:4:41:80,507
267,19:4:41:90,517
268,19:4:41:100,520
269,19:4:41:110,517
270,19:4:41:120,508
271,19:4:41:130,491
272,19:4:41:140,471
273,19:4:41:150,472
274,19:4:41:160,470
275,19:4:41:170,462
276,19:4:41:180,460
277,19:4:41:190,509
278,19:4:41:200,575
279,19:4:41:210,544
280,19:4:41:220,483
281,19:4:41:230,459
282,19:4:41:240,446
283,19:4:41:250,434
284,19:4:41:260,427
285,19:4:41:270,416
286,19:4:41:280,413
287,19:4:41:290,417
288,19:4:41:300,410
289,19:4:41:310,410
290,19:4:41:320,421
291,19:4:41:330,413
292,19:4:41:340,412
293,19:4:41:350,417
294,19:4:41:360,415
295,19:4:41:370,424
296,19:4:41:380,411
297,19:4:41:390,402
298,19:4:41:400,391
299,19:4:41:410,379
300,19:4:47:0,266
301,19:4:47:10,279
302,19:4:47:20,282
303,19:4:47:30,277
304,19:4:47:40,275
305,19:4:47:50,312
306,19:4:47:60,397
307,19:4:47:70,388
308,19:4:47:80,332
309,19:4:47:90,294
310,19:4:47:100,286
311,19:4:47:110,283
312,19:4:47:120,282
313,19:4:47:130,280
314,19:4:47:140,284
315,19:4:47:150,293
316,19:4:47:160,300
317,19:4:47:170,310
318,19:4:47:180,311
319,19:4:47:190,314
320,19:4:47:200,320
321,19:4:47:210,332
322,19:4:47:220,339
323,19:4:47:230,342
324,19:4:47:240,339
325,19:4:47:250,338
