Index,TimeStamp,ECG Value
318,0:43:97,146
319,0:43:101,175
320,0:43:104,141
321,0:43:108,147
322,0:43:111,436
323,0:43:115,138
324,0:43:118,160
325,0:43:122,166
326,0:43:126,130
327,0:43:129,170
328,0:43:133,163
329,0:43:137,378
330,0:43:141,151
331,0:43:144,161
332,0:43:148,134
333,0:43:152,157
334,0:43:155,154
335,0:43:159,135
336,0:43:162,409
337,0:43:166,153
338,0:43:169,130
339,0:43:173,140
340,0:43:177,147
341,0:43:181,128
342,0:43:185,137
343,0:43:188,398
344,0:43:192,145
345,0:43:195,160
346,0:43:199,146
347,0:43:203,115
348,0:43:206,243
349,0:43:210,142
350,0:43:213,373
351,0:43:217,149
352,0:43:220,122
353,0:43:225,114
354,0:43:229,148
355,0:43:232,113
356,0:43:236,122
357,0:43:239,407
358,0:43:243,111
359,0:43:246,141
360,0:43:250,150
361,0:43:254,113
362,0:43:257,127
363,0:43:261,148
364,0:43:265,374
365,0:43:269,134
366,0:43:272,145
367,0:43:276,113
368,0:43:280,151
369,0:43:283,158
370,0:43:287,117
371,0:43:290,394
372,0:43:294,155
373,0:43:297,125
374,0:43:301,145
375,0:43:305,154
376,0:43:309,128
377,0:43:313,156
378,0:43:316,406
379,0:43:320,241
380,0:43:323,156
381,0:43:327,142
382,0:43:330,120
383,0:43:334,148
384,0:43:338,135
385,0:48:943,374
386,0:48:945,108
387,0:48:947,100
388,0:48:950,85
389,0:48:954,115
390,0:48:957,127
391,0:48:961,94
392,0:48:964,381
393,0:48:968,127
394,0:48:971,101
395,0:48:975,123
396,0:48:979,213
397,0:48:983,97
398,0:48:987,116
399,0:48:990,461
400,0:48:994,95
401,0:48:997,113
402,0:49:1,125
403,0:49:4,209
404,0:49:8,109
405,0:49:11,202
406,0:49:15,366
407,0:49:18,183
408,0:49:22,101
409,0:49:26,150
410,0:49:30,96
411,0:49:33,89
412,0:49:37,195
413,0:49:40,365
414,0:49:44,75
415,0:49:47,107
416,0:49:51,77
417,0:49:54,111
418,0:49:58,96
419,0:49:61,86
420,0:49:64,371
421,0:49:69,81
422,0:49:72,116
423,0:49:76,92
424,0:49:79,115
425,0:49:83,103
426,0:49:86,104
427,0:49:90,381
428,0:49:93,88
429,0:49:97,119
430,0:49:100,165
431,0:49:104,105
432,0:49:107,127
433,0:49:112,87
434,0:49:116,364
435,0:49:119,120
436,0:49:123,87
437,0:49:126,120
438,0:49:130,119
439,0:49:133,85
440,0:49:137,104
441,0:49:141,376
442,0:49:144,90
443,0:49:148,122
444,0:49:152,110
445,0:49:156,91
446,0:49:159,118
447,0:49:163,116
448,0:49:167,343
449,0:49:170,128
450,0:49:174,114
451,0:49:177,94
452,0:49:181,118
453,0:49:184,106
454,0:49:188,99
455,0:49:192,391
456,0:49:196,109
457,0:49:200,100
458,0:49:203,132
459,0:49:207,96
460,0:49:210,111
461,0:49:214,136
462,0:54:818,351
463,0:54:820,112
464,0:54:822,106
465,0:54:825,84
466,0:54:830,118
467,0:54:833,113
468,0:54:837,83
469,0:54:840,372
470,0:54:844,114
471,0:54:847,86
472,0:54:851,118
473,0:54:855,113
474,0:54:858,88
475,0:54:862,109
476,0:54:865,362
477,0:54:870,82
478,0:54:873,124
479,0:54:877,104
480,0:54:881,93
481,0:54:884,122
482,0:54:888,110
483,0:54:891,352
484,0:54:895,137
485,0:54:898,93
486,0:54:902,96
487,0:54:906,125
488,0:54:909,91
489,0:54:914,128
490,0:54:917,388
491,0:54:921,212
492,0:54:924,118
493,0:54:928,206
494,0:54:932,80
495,0:54:935,201
496,0:54:939,109
497,0:54:942,375
498,0:54:946,98
499,0:54:949,105
500,0:54:953,173
501,0:54:958,99
502,0:54:961,94
503,0:54:965,65
504,0:54:968,343
505,0:54:972,96
506,0:54:975,72
507,0:54:979,92
508,0:54:983,92
509,0:54:986,83
510,0:54:990,102
511,0:54:993,344
512,0:54:998,58
513,0:55:1,93
514,0:55:5,156
515,0:55:8,91
516,0:55:12,69
517,0:55:15,114
518,0:55:19,352
519,0:55:22,143
520,0:55:26,186
521,0:55:29,195
522,0:55:32,5
523,0:55:36,238
524,0:55:40,13
525,0:55:44,480
526,0:55:47,225
527,0:55:51,197
528,0:55:54,142
529,0:55:58,157
530,0:55:61,107
531,0:55:65,126
532,0:55:68,599
533,0:55:72,102
534,0:55:75,108
535,0:55:79,72
536,0:55:83,107
537,0:55:87,74
538,0:55:90,98
539,1:0:694,371
540,1:0:696,109
541,1:0:698,113
542,1:0:701,105
543,1:0:704,108
544,1:0:708,77
545,1:0:711,112
546,1:0:716,337
547,1:0:719,101
548,1:0:723,86
549,1:0:726,120
550,1:0:730,107
551,1:0:733,191
552,1:0:737,109
553,1:0:740,334
554,1:0:744,197
555,1:0:747,73
556,1:0:751,98
557,1:0:754,104
558,1:0:759,189
559,1:0:762,103
560,1:0:766,426
561,1:0:769,93
562,1:0:773,164
563,1:0:776,89
564,1:0:780,168
565,1:0:783,57
566,1:0:787,101
567,1:0:790,430
568,1:0:794,103
569,1:0:797,71
570,1:0:801,99
571,1:0:805,109
572,1:0:808,102
573,1:0:812,112
574,1:0:815,339
575,1:0:819,107
576,1:0:822,96
577,1:0:826,214
578,1:0:829,116
579,1:0:833,84
580,1:0:836,128
581,1:0:840,384
582,1:0:844,125
583,1:0:848,102
584,1:0:851,121
585,1:0:855,131
586,1:0:858,99
587,1:0:862,128
588,1:0:865,347
589,1:0:869,120
590,1:0:872,96
591,1:0:876,107
592,1:0:879,112
593,1:0:883,100
594,1:0:887,102
595,1:0:891,334
596,1:0:894,109
597,1:0:898,83
598,1:0:901,197
599,1:0:905,106
600,1:0:908,72
601,1:0:912,106
602,1:0:915,376
603,1:0:919,87
604,1:0:922,83
605,1:0:926,106
606,1:0:930,101
607,1:0:933,176
608,1:0:937,90
609,1:0:940,314
610,1:0:944,91
611,1:0:947,77
612,1:0:951,114
613,1:0:954,133
614,1:0:958,155
615,1:0:961,188
616,1:6:566,360
617,1:6:568,113
618,1:6:570,212
619,1:6:573,107
620,1:6:577,109
621,1:6:580,195
622,1:6:584,109
623,1:6:587,335
624,1:6:591,117
625,1:6:594,179
626,1:6:598,110
627,1:6:601,178
628,1:6:606,94
629,1:6:609,179
630,1:6:612,322
631,1:6:616,191
632,1:6:619,78
633,1:6:623,101
634,1:6:626,88
635,1:6:630,63
636,1:6:633,106
637,1:6:637,334
638,1:6:640,112
639,1:6:644,90
640,1:6:648,99
641,1:6:652,119
642,1:6:655,87
643,1:6:659,128
644,1:6:662,344
645,1:6:666,113
646,1:6:669,105
647,1:6:673,119
648,1:6:676,132
649,1:6:680,97
650,1:6:683,133
651,1:6:688,364
652,1:6:691,237
653,1:6:695,108
654,1:6:698,116
655,1:6:702,131
656,1:6:705,100
657,1:6:709,141
658,1:6:712,358
659,1:6:716,120
660,1:6:719,117
661,1:6:723,137
662,1:6:726,132
663,1:6:731,92
664,1:6:734,129
665,1:6:738,349
666,1:6:741,115
667,1:6:744,100
668,1:6:748,100
669,1:6:751,122
670,1:6:755,84
671,1:6:758,119
672,1:6:762,337
673,1:6:765,97
674,1:6:769,94
675,1:6:772,100
676,1:6:777,112
677,1:6:780,70
678,1:6:784,107
679,1:6:787,330
680,1:6:791,105
681,1:6:794,88
682,1:6:798,91
683,1:6:801,115
684,1:6:805,91
685,1:6:808,140
686,1:6:812,381
687,1:6:816,174
688,1:6:820,206
689,1:6:823,249
690,1:6:827,24
691,1:6:830,241
692,1:6:834,17
693,1:12:436,378
694,1:12:438,118
695,1:12:440,121
696,1:12:443,115
697,1:12:448,200
698,1:12:452,81
699,1:12:455,108
700,1:12:459,369
701,1:12:462,80
702,1:12:466,105
703,1:12:469,119
704,1:12:473,95
705,1:12:477,111
706,1:12:480,114
707,1:12:484,355
708,1:12:487,214
709,1:12:492,108
710,1:12:495,105
711,1:12:499,108
712,1:12:502,106
713,1:12:506,82
714,1:12:510,375
715,1:12:513,133
716,1:12:517,105
717,1:12:520,103
718,1:12:524,84
719,1:12:527,180
720,1:12:531,105
721,1:12:536,383
722,1:12:539,70
723,1:12:543,183
724,1:12:546,66
725,1:12:550,74
726,1:12:553,109
727,1:12:557,74
728,1:12:561,357
729,1:12:564,116
730,1:12:568,82
731,1:12:571,115
732,1:12:576,122
733,1:12:579,92
734,1:12:583,122
735,1:12:587,385
736,1:12:590,95
737,1:12:594,122
738,1:12:597,131
739,1:12:601,102
740,1:12:604,127
741,1:12:608,93
742,1:12:612,351
743,1:12:615,130
744,1:12:620,122
745,1:12:623,104
746,1:12:627,127
747,1:12:630,126
748,1:12:634,101
749,1:12:638,393
750,1:12:641,118
751,1:12:645,90
752,1:12:648,116
753,1:12:652,107
754,1:12:655,93
755,1:12:659,120
756,1:12:664,351
757,1:12:667,82
758,1:12:671,116
759,1:12:674,78
760,1:12:678,86
761,1:12:681,111
762,1:12:685,75
763,1:12:689,342
764,1:12:692,108
765,1:12:696,74
766,1:12:699,103
767,1:12:704,106
768,1:12:707,71
769,1:12:711,97
770,1:18:315,357
771,1:18:317,106
772,1:18:319,107
773,1:18:322,122
774,1:18:326,100
775,1:18:329,75
776,1:18:333,103
777,1:18:338,347
778,1:18:341,77
779,1:18:345,115
780,1:18:348,189
781,1:18:352,79
782,1:18:355,192
783,1:18:359,71
784,1:18:363,443
785,1:18:366,106
786,1:18:370,158
787,1:18:373,91
788,1:18:377,105
789,1:18:381,154
790,1:18:385,99
791,1:18:389,366
792,1:18:392,80
793,1:18:396,190
794,1:18:399,115
795,1:18:403,93
796,1:18:406,115
797,1:18:410,122
798,1:18:414,361
799,1:18:417,129
800,1:18:422,127
801,1:18:425,100
802,1:18:429,134
803,1:18:432,129
804,1:18:436,107
805,1:18:440,379
806,1:18:443,126
807,1:18:447,104
808,1:18:450,142
809,1:18:454,130
810,1:18:457,108
811,1:18:461,129
812,1:18:465,386
813,1:18:469,113
814,1:18:473,146
815,1:18:476,118
816,1:18:480,107
817,1:18:483,144
818,1:18:487,109
819,1:18:490,374
820,1:18:494,137
821,1:18:498,97
822,1:18:501,111
823,1:18:505,129
824,1:18:509,92
825,1:18:513,115
826,1:18:516,380
827,1:18:520,93
828,1:18:524,214
829,1:18:527,118
830,1:18:531,85
831,1:18:534,106
832,1:18:538,117
833,1:18:541,344
834,1:18:545,107
835,1:18:550,121
836,1:18:553,95
837,1:18:557,126
838,1:18:560,115
839,1:18:564,92
840,1:18:567,376
841,1:18:571,114
842,1:18:575,89
843,1:18:578,127
844,1:18:582,111
845,1:18:585,88
846,1:18:589,115
847,1:24:194,354
848,1:24:196,86
849,1:24:198,85
850,1:24:201,106
851,1:24:205,88
852,1:24:208,111
853,1:24:212,91
854,1:24:215,335
855,1:24:219,112
856,1:24:222,75
857,1:24:227,78
858,1:24:231,108
859,1:24:234,71
860,1:24:238,100
861,1:24:241,446
862,1:24:245,62
863,1:24:248,95
864,1:24:252,62
865,1:24:256,54
866,1:24:259,77
867,1:24:263,96
868,1:24:267,429
869,1:24:271,111
870,1:24:274,93
871,1:24:278,126
872,1:24:282,35
873,1:24:285,227
874,1:24:289,76
875,1:24:292,499
876,1:24:296,69
877,1:24:299,203
878,1:24:303,56
879,1:24:307,174
880,1:24:311,141
881,1:24:315,126
882,1:24:318,443
883,1:24:322,79
884,1:24:325,105
885,1:24:329,81
886,1:24:332,68
887,1:24:336,100
888,1:24:340,72
889,1:24:343,316
890,1:24:347,100
891,1:24:350,68
892,1:24:355,80
893,1:24:358,97
894,1:24:362,57
895,1:24:366,91
896,1:24:369,355
897,1:24:373,64
898,1:24:376,85
899,1:24:380,99
900,1:24:383,67
901,1:24:387,97
902,1:24:391,101
903,1:24:395,320
904,1:24:399,94
905,1:24:402,103
906,1:24:406,97
907,1:24:409,107
908,1:24:413,99
909,1:24:417,75
910,1:24:420,359
911,1:24:424,92
912,1:24:427,76
913,1:24:431,112
914,1:24:434,104
915,1:24:439,203
916,1:24:443,102
917,1:24:446,348
918,1:24:450,71
919,1:24:453,201
